pattern_id,description,regex,canonical_hint,preferred_label,date_start,date_end
century_20_bc,20th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:20th|twentieth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:20e|twintigste)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_20_BC,20th century BC,-2000,-1900
century_19_bc,19th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:19th|nineteenth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:19e|negentiende)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_19_BC,19th century BC,-1900,-1800
century_18_bc,18th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:18th|eighteenth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:18e|achttiende)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_18_BC,18th century BC,-1800,-1700
century_17_bc,17th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:17th|seventeenth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:17e|zeventiende)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_17_BC,17th century BC,-1700,-1600
century_16_bc,16th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:16th|sixteenth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:16e|zestiende)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_16_BC,16th century BC,-1600,-1500
century_15_bc,15th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:15th|fifteenth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:15e|vijftiende)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_15_BC,15th century BC,-1500,-1400
century_14_bc,14th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:14th|fourteenth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:14e|veertiende)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_14_BC,14th century BC,-1400,-1300
century_13_bc,13th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:13th|thirteenth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:13e|dertiende)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_13_BC,13th century BC,-1300,-1200
century_12_bc,12th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:12th|twelfth)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:12e|twaalfde)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_12_BC,12th century BC,-1200,-1100
century_11_bc,11th century BC (EN + NL),\b(?:early\s+|late\s+)?(?:11th|eleventh)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:11e|elfde)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_11_BC,11th century BC,-1100,-1000
