"Pot_Name","Typology","Start_date","End_date"
"Terra sigillata tazza","Dragendorff 1","-40","30"
"Terra sigillata tweehandige beker","Dragendorff 2","-40","20"
"Terra sigillata kom","Dragendorff 3","-30","20"
"Terra sigillata beker","Dragendorff 4","-20","60"
"Terra sigillata voetbeker","Dragendorff 5","-20","60"
"Terra sigillata klein beker","Dragendorff 6","-20","60"
"Terra sigillata beker","Dragendorff 12","-30","20"
"Terra sigillata tazza","Dragendorff 54","-30","50"
"Terra sigillata kom","Dragendorff 7","-10","70"
"Terra sigillata bord","Dragendorff 8","-10","70"
"Terra sigillata beker","Dragendorff 9","10","80"
"Terra sigillata bord","Dragendorff 10","-10","80"
"Terra sigillata kom","Dragendorff 11","-10","70"
"Terra sigillata inktpot","Dragendorff 13","-10","100"
"Terra sigillata inktpot","Dragendorff 14","-10","100"
"Terra sigillata bord","Dragendorff 15/17","10","100"
"Terra sigillata bord","Dragendorff 16","10","80"
"Terra sigillata bord","Dragendorff 18","40","120"
"Terra sigillata bord","Dragendorff 18/31","70","200"
"Terra sigillata bord","Dragendorff 19","10","80"
"Terra sigillata amfoor","Dragendorff 20","-10","100"
"Terra sigillata deksel","Dragendorff 21","10","80"
"Terra sigillata deksel","Dragendorff 22","-20","60"
"Terra sigillata beker","Dragendorff 23","20","100"
"Terra sigillata beker","Dragendorff 24","15","80"
"Terra sigillata beker","Dragendorff 24/25","15","100"
"Terra sigillata beker","Dragendorff 25","30","100"
"Terra sigillata beker","Dragendorff 26","40","100"
"Terra sigillata bord","Dragendorff 28","15","80"
"Terra sigillata versierd kom","Dragendorff 29","15","100"
"Terra sigillata beker","Dragendorff 27","15","200"
"Terra sigillata versierd kom","Dragendorff 30","20","200"
"Terra sigillata beker","Dragendorff 33","40","300"
"Terra sigillata versierd kom","Dragendorff 37","70","300"
"Terra sigillata bord","Dragendorff 31","100","260"
"Terra sigillata bord","Dragendorff 31R","120","280"
"Terra sigillata beker","Dragendorff 34","70","180"
"Terra sigillata beker","Dragendorff 35","70","200"
"Terra sigillata bord","Dragendorff 36","70","250"
"Terra sigillata kom","Dragendorff 38","100","260"
"Terra sigillata beker","Dragendorff 39","60","160"
"Terra sigillata beker","Dragendorff 41","70","200"
"Terra sigillata bord","Dragendorff 42","100","250"
"Terra sigillata tweehandige beker","Dragendorff 52","50","200"
"Terra sigillata bord","Dragendorff 32","150","300"
"Terra sigillata kom","Dragendorff 40","150","300"
"Terra sigillata mortarium","Dragendorff 43","150","300"
"Terra sigillata kom","Dragendorff 44","150","300"
"Terra sigillata kom","Dragendorff 46","150","300"
"Terra sigillata kruik","Dragendorff 53","100","250"
"Terra sigillata mortarium","Dragendorff 45","150","400"
"Terra sigillata tazza","Dragendorff 47","200","400"
"Terra sigillata schotel","Dragendorff 48","200","400"
"geslibd aardewerk beker","Stuart 1","40","110"
"geslibd aardewerk zandruw beker","Stuart 1B","70","150"
"geslibd aardewerk beker","Stuart 2","70","200"
"geslibd aardewerk beker","Stuart 4","150","300"
"geslibd aardewerk bord","Stuart 10","-10","150"
"geslibd aardewerk bord","Stuart 15","70","200"
"geslibd aardewerk beker","Stuart 16","40","100"
"gladwandig ringhals kruik","Stuart 106/108","40","260"
"gladwandig éénhandige kruik","Stuart 107","-10","150"
"gladwandig kruik","Stuart 109","70","200"
