typology_code,all_forms,abbreviations,pot_name_en,pot_name_nl,pot_name_de,pot_name_fr,ware_type,vessel_form,production_region,date_start,date_end,date_confidence,date_source
ACO-beker,ACO-beker,ACO,ACO beaker barbotine type,ACO beker barbotine type,Becher,gobelet,,beaker,North Italian / Gaulish,-25,50,certain,Ettlinger 1952
Alzey 1,Alzey 1,Alz. 1|Alz.1|Al. 1|Al.1|Alzei 1|Alzei1,Late Roman color-coated beaker,laat-Romeins geverfd beker,Gefärbte Keramik Becher,Céramique engobée gobelet,color-coated ware,beaker,Rhineland (Rheinzabern / Speyer region),260,400,certain,Unverzagt 1916
Alzey 10,Alzey 10,Alz. 10|Alz.10|Al. 10|Al.10|Alzei 10|Alzei10,Late Roman cooking pot,laat-Romeins kookpot,Spätrömische Keramik Kochtopf,Céramique du Bas-Empire pot culinaire,late Roman ware,cooking pot,Rhineland (Rheinzabern / Speyer region),270,420,certain,Unverzagt 1916
Alzey 11,Alzey 11,Alz. 11|Alz.11|Al. 11|Al.11|Alzei 11|Alzei11,Late Roman cooking pot,laat-Romeins kookpot,Spätrömische Keramik Kochtopf,Céramique du Bas-Empire pot culinaire,late Roman ware,cooking pot,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 12,Alzey 12,Alz. 12|Alz.12|Al. 12|Al.12|Alzei 12|Alzei12,Late Roman cooking pot,laat-Romeins kookpot,Spätrömische Keramik Kochtopf,Céramique du Bas-Empire pot culinaire,late Roman ware,cooking pot,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 13,Alzey 13,Alz. 13|Alz.13|Al. 13|Al.13|Alzei 13|Alzei13,Late Roman cooking pot,laat-Romeins kookpot,Spätrömische Keramik Kochtopf,Céramique du Bas-Empire pot culinaire,late Roman ware,cooking pot,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 14,Alzey 14,Alz. 14|Alz.14|Al. 14|Al.14|Alzei 14|Alzei14,Late Roman storage jar,laat-Romeins voorraadpot,Spätrömische Keramik Topf,Céramique du Bas-Empire pot,late Roman ware,jar,Rhineland (Rheinzabern / Speyer region),270,420,certain,Unverzagt 1916
Alzey 15,Alzey 15,Alz. 15|Alz.15|Al. 15|Al.15|Alzei 15|Alzei15,Late Roman storage jar,laat-Romeins voorraadpot,Spätrömische Keramik Topf,Céramique du Bas-Empire pot,late Roman ware,jar,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 16,Alzey 16,Alz. 16|Alz.16|Al. 16|Al.16|Alzei 16|Alzei16,Late Roman jar,laat-Romeins pot,Spätrömische Keramik Topf,Céramique du Bas-Empire pot,late Roman ware,jar,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 17,Alzey 17,Alz. 17|Alz.17|Al. 17|Al.17|Alzei 17|Alzei17,Late Roman jug,laat-Romeins kruik,Spätrömische Keramik Krug,Céramique du Bas-Empire cruche,late Roman ware,jug,Rhineland (Rheinzabern / Speyer region),270,420,certain,Unverzagt 1916
Alzey 18,Alzey 18,Alz. 18|Alz.18|Al. 18|Al.18|Alzei 18|Alzei18,Late Roman jug,laat-Romeins kruik,Spätrömische Keramik Krug,Céramique du Bas-Empire cruche,late Roman ware,jug,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 2,Alzey 2,Alz. 2|Alz.2|Al. 2|Al.2|Alzei 2|Alzei2,Late Roman color-coated beaker,laat-Romeins geverfd beker,Gefärbte Keramik Becher,Céramique engobée gobelet,color-coated ware,beaker,Rhineland (Rheinzabern / Speyer region),260,400,certain,Unverzagt 1916
Alzey 20,Alzey 20,Alz. 20|Alz.20|Al. 20|Al.20|Alzei 20|Alzei20,Late Roman bowl,laat-Romeins kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 21,Alzey 21,Alz. 21|Alz.21|Al. 21|Al.21|Alzei 21|Alzei21,Late Roman bowl,laat-Romeins kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 22,Alzey 22,Alz. 22|Alz.22|Al. 22|Al.22|Alzei 22|Alzei22,Late Roman bowl,laat-Romeins kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 23,Alzey 23,Alz. 23|Alz.23|Al. 23|Al.23|Alzei 23|Alzei23,Late Roman plate,laat-Romeins bord,Spätrömische Keramik Teller,Céramique du Bas-Empire assiette,late Roman ware,plate,Rhineland (Rheinzabern / Speyer region),300,420,certain,Unverzagt 1916
Alzey 24,Alzey 24,Alz. 24|Alz.24|Al. 24|Al.24|Alzei 24|Alzei24,Late Roman plate,laat-Romeins bord,Spätrömische Keramik Teller,Céramique du Bas-Empire assiette,late Roman ware,plate,Rhineland (Rheinzabern / Speyer region),300,420,certain,Unverzagt 1916
Alzey 25,Alzey 25,Alz. 25|Alz.25|Al. 25|Al.25|Alzei 25|Alzei25,Late Roman plate,laat-Romeins bord,Spätrömische Keramik Teller,Céramique du Bas-Empire assiette,late Roman ware,plate,Rhineland (Rheinzabern / Speyer region),350,450,certain,Unverzagt 1916
Alzey 26,Alzey 26,Alz. 26|Alz.26|Al. 26|Al.26|Alzei 26|Alzei26,Late Roman cooking pot,laat-Romeins kookpot,Spätrömische Keramik Kochtopf,Céramique du Bas-Empire pot culinaire,late Roman ware,cooking pot,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 27,Alzey 27,Alz. 27|Alz.27|Al. 27|Al.27|Alzei 27|Alzei27,Late Roman cooking pot,laat-Romeins kookpot,Spätrömische Keramik Kochtopf,Céramique du Bas-Empire pot culinaire,late Roman ware,cooking pot,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 28,Alzey 28,Alz. 28|Alz.28|Al. 28|Al.28|Alzei 28|Alzei28,Late Roman bowl,laat-Romeinse kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 28v,Alzey 28v,Alz. 28v|Alz.28v|Al. 28v|Al.28v,bowl,kom,Schüssel,bol,,bowl,Rhineland (Rheinzabern / Speyer region),365,435,certain,Unverzagt 1916
Alzey 29,Alzey 29,Alz. 29|Alz.29|Al. 29|Al.29|Alzei 29|Alzei29,Late Roman storage vessel,laat-Romeins voorraadvat,Spätrömische Keramik Vorratsgefäß,Céramique du Bas-Empire récipient de stockage,late Roman ware,storage vessel,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 3,Alzey 3,Alz. 3|Alz.3|Al. 3|Al.3|Alzei 3|Alzei3,Late Roman color-coated cup,laat-Romeins geverfd beker,Gefärbte Keramik Becher,Céramique engobée gobelet,color-coated ware,cup,Rhineland (Rheinzabern / Speyer region),260,420,certain,Unverzagt 1916
Alzey 30,Alzey 30,Alz. 30|Alz.30|Al. 30|Al.30|Alzei 30|Alzei30,Late Roman storage jar,laat-Romeins voorraadpot,Spätrömische Keramik Topf,Céramique du Bas-Empire pot,late Roman ware,jar,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 31,Alzey 31,Alz. 31|Alz.31|Al. 31|Al.31,mortarium,wrijfschaal,Reibschüssel Reibschüssel,Mortier mortier,mortarium,mortarium,Rhineland (Rheinzabern / Speyer region),365,435,certain,Unverzagt 1916
Alzey 32,Alzey 32,Alz. 32|Alz.32|Al. 32|Al.32|Alzei 32|Alzei32,Late Roman bowl,laat-Romeins kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Rhineland (Rheinzabern / Speyer region),350,450,certain,Unverzagt 1916
Alzey 33,Alzey 33,Alz. 33|Alz.33|Al. 33|Al.33|Alzei 33|Alzei33,Late Roman dish,laat-Romeins schotel,Spätrömische Keramik Schale,Céramique du Bas-Empire plat,late Roman ware,dish,Rhineland (Rheinzabern / Speyer region),350,450,certain,Unverzagt 1916
Alzey 34,Alzey 34,Alz. 34|Alz.34|Al. 34|Al.34|Alzei 34|Alzei34,Late Roman lid,laat-Romeins deksel,Spätrömische Keramik Deckel,Céramique du Bas-Empire couvercle,late Roman ware,lid,Rhineland (Rheinzabern / Speyer region),300,420,certain,Unverzagt 1916
Alzey 35,Alzey 35,Alz. 35|Alz.35|Al. 35|Al.35|Alzei 35|Alzei35,Late Roman lid,laat-Romeins deksel,Spätrömische Keramik Deckel,Céramique du Bas-Empire couvercle,late Roman ware,lid,Rhineland (Rheinzabern / Speyer region),300,450,certain,Unverzagt 1916
Alzey 4,Alzey 4,Alz. 4|Alz.4|Al. 4|Al.4|Alzei 4|Alzei4,Late Roman color-coated cup,laat-Romeins geverfd beker,Gefärbte Keramik Becher,Céramique engobée gobelet,color-coated ware,cup,Rhineland (Rheinzabern / Speyer region),270,420,certain,Unverzagt 1916
Alzey 5,Alzey 5,Alz. 5|Alz.5|Al. 5|Al.5|Alzei 5|Alzei5,Late Roman color-coated cup,laat-Romeins geverfd beker,Gefärbte Keramik Becher,Céramique engobée gobelet,color-coated ware,cup,Rhineland (Rheinzabern / Speyer region),270,420,certain,Unverzagt 1916
Alzey 6,Alzey 6,Alz. 6|Alz.6|Al. 6|Al.6|Alzei 6|Alzei6,Late Roman bowl,laat-Romeins kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Rhineland (Rheinzabern / Speyer region),260,420,certain,Unverzagt 1916
Alzey 7,Alzey 7,Alz. 7|Alz.7|Al. 7|Al.7|Alzei 7|Alzei7,Late Roman bowl,laat-Romeins kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Rhineland (Rheinzabern / Speyer region),260,420,certain,Unverzagt 1916
Alzey 8,Alzey 8,Alz. 8|Alz.8|Al. 8|Al.8|Alzei 8|Alzei8,Late Roman bowl,laat-Romeins kom,Spätrömische Keramik Schüssel,Céramique du Bas-Empire bol,late Roman ware,bowl,Rhineland (Rheinzabern / Speyer region),270,420,certain,Unverzagt 1916
Alzey 9,Alzey 9,Alz. 9|Alz.9|Al. 9|Al.9|Alzei 9|Alzei9,Late Roman cooking pot,laat-Romeins kookpot,Spätrömische Keramik Kochtopf,Céramique du Bas-Empire pot culinaire,late Roman ware,cooking pot,Rhineland (Rheinzabern / Speyer region),270,420,certain,Unverzagt 1916
Baudoux,Baudoux,Baud.,Baudoux amphore NE gauloise,Baudoux NO-Gallische amfoor,,,,,NE Gaul,-25,300,approximate,Baudoux 1996
Blicquy 1,Blicquy 1,Blic. 1|Blic.1|Bl. 1|Bl.1,Terra nigra cylindrical beaker,Terra nigra cilindrische beker,Terra Nigra Becher,Terra Nigra gobelet,terra nigra,beaker,Belgium (Hainaut — Blicquy production site),60,200,certain,Willems 1973
Blicquy 10,Blicquy 10,Blic. 10|Blic.10|Bl. 10|Bl.10,Terra nigra carinated bowl,Terra nigra geknikt kom,Terra Nigra Schüssel,Terra Nigra bol,terra nigra,bowl,Belgium (Hainaut — Blicquy production site),60,250,certain,Willems 1973
Blicquy 11,Blicquy 11,Blic. 11|Blic.11|Bl. 11|Bl.11,Terra rubra cup,Terra rubra beker,Terra Rubra Becher,Terra Rubra gobelet,terra rubra,cup,Belgium (Hainaut — Blicquy production site),60,200,certain,Willems 1973
