abr_combined_code,combined_label_nl,combined_uri,ware_label_nl,ware_uri,form_code,form_label_nl,typology_abr
ADS,Assendelftstijlgroep:onbepaald,https://data.cultureelerfgoed.nl/term/id/abr/d1a22d38-f687-4bbc-9fcc-b140ed761560,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,,aardewerk:onbepaald (PREH),
ADS.AMFOOR,Assendelftstijlgroep:amfoor,https://data.cultureelerfgoed.nl/term/id/abr/bc956a23-6be9-4577-b277-7e6cfe3b02f2,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,AMFOOR.VERZ,amfoor,
ADS.BEKER,Assendelftstijlgroep:beker,https://data.cultureelerfgoed.nl/term/id/abr/af8574f1-6c59-4326-b486-a0b6cbb98cf8,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,BEKER,beker,
ADS.DEKSEL,Assendelftstijlgroep:deksel,https://data.cultureelerfgoed.nl/term/id/abr/6308220c-3090-437f-98aa-d3b7864bdbb5,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,DEKSEL,deksel,
ADS.FLES,Assendelftstijlgroep:fles,https://data.cultureelerfgoed.nl/term/id/abr/3c94d9c9-3019-4160-81f8-5c9d92e9518d,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,FLES,fles,
ADS.KOM,Assendelftstijlgroep:kom,https://data.cultureelerfgoed.nl/term/id/abr/65b88a95-62fd-485d-a5a2-5adaa044b5e1,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,KOM.KOM,kom,
ADS.POT,Assendelftstijlgroep:pot,https://data.cultureelerfgoed.nl/term/id/abr/a15885e3-0c81-460e-b6b6-316f7b91d3fc,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,POT,pot,
ADS.SCHAAL,Assendelftstijlgroep:schaal,https://data.cultureelerfgoed.nl/term/id/abr/f74b4c77-a555-4c45-87b7-b9766969b88d,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,SCHAAL,schaal,
ADS.ZEEF,Assendelftstijlgroep:zeef,https://data.cultureelerfgoed.nl/term/id/abr/e5712eda-ddfb-4b6d-a94e-69612ca21ccf,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,ZEEF,zeef,
AMFOOR,amfoor aardewerk:onbepaald,https://data.cultureelerfgoed.nl/term/id/abr/dda539d4-48a1-4568-a52f-d6440d1c3835,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,,aardewerk:onbepaald (ROM),
AMFOOR.AMFOOR,amfoor aardewerk:amfoor,https://data.cultureelerfgoed.nl/term/id/abr/0239da1b-e60e-4de5-8483-aef457a3ff1f,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,AMFOOR.VERZ,amfoor,
AMFOOR.BR22,"amfoor, dikwandig aardewerk - Brunsting 22:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/bc7e6fbd-684b-41f0-9c17-64dda07cd02d,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,AMFOOR.STAND,standamfoor,Brunsting 22:standamfoor
AMFOOR.CAM184,"amfoor, dikwandig aardewerk - Camulodunum 184",https://data.cultureelerfgoed.nl/term/id/abr/3e3baeb1-1446-4d45-b4a0-336349f0b7fb,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Camulodunum 184
AMFOOR.DRES1,"amfoor, dikwandig aardewerk - Dressel 1",https://data.cultureelerfgoed.nl/term/id/abr/8f564aeb-50c4-4a97-83da-07790728e840,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Dressel 1
AMFOOR.DRES2/5,"amfoor, dikwandig aardewerk - Dressel 2-5",https://data.cultureelerfgoed.nl/term/id/abr/233bc038-c9b6-47c1-b0c7-4a428e8e9b23,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Dressel 2-5
AMFOOR.DRES20,"amfoor, dikwandig aardewerk - Dressel 20",https://data.cultureelerfgoed.nl/term/id/abr/2b22d245-05f0-4bbe-b0c4-153e5bb11797,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Dressel 20
AMFOOR.DRES7/11,"amfoor, dikwandig aardewerk - Dressel 7-11",https://data.cultureelerfgoed.nl/term/id/abr/e45d1fab-e5d0-471e-aa91-c45dfce83afe,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Dressel 7-11
AMFOOR.GAUL,"amfoor, dikwandig aardewerk - Gauloise standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/a0c6ee8e-5c67-4adc-892d-f65cfdcb18b0,"amfoor aardewerk, Gallië",https://data.cultureelerfgoed.nl/term/id/abr/54601c64-4f4b-4ef5-b1c1-e38f485a7801,AMFOOR.STAND,standamfoor,Gauloise standamfoor
AMFOOR.GAUL1,"amfoor, dikwandig aardewerk - Gauloise 1:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/6bc46820-3810-4e18-9974-76bd11a4f6b9,"amfoor aardewerk, Gallië",https://data.cultureelerfgoed.nl/term/id/abr/54601c64-4f4b-4ef5-b1c1-e38f485a7801,AMFOOR.STAND,standamfoor,Gauloise 1:standamfoor
AMFOOR.GAUL2,"amfoor, dikwandig aardewerk - Gauloise 2:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/72761162-0b26-4847-8fb8-3f0c5791b835,"amfoor aardewerk, Gallië",https://data.cultureelerfgoed.nl/term/id/abr/54601c64-4f4b-4ef5-b1c1-e38f485a7801,AMFOOR.STAND,standamfoor,Gauloise 2:standamfoor
AMFOOR.GAUL3,"amfoor, dikwandig aardewerk - Gauloise 3:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/165035d9-a337-4e27-bbbd-6ed42d9fec29,"amfoor aardewerk, Gallië",https://data.cultureelerfgoed.nl/term/id/abr/54601c64-4f4b-4ef5-b1c1-e38f485a7801,AMFOOR.STAND,standamfoor,Gauloise 3:standamfoor
AMFOOR.HAL70,"amfoor, dikwandig aardewerk - Haltern 70",https://data.cultureelerfgoed.nl/term/id/abr/55bdc96d-787a-45b2-b829-99a163e09331,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Haltern 70
AMFOOR.NB74,"amfoor, dikwandig aardewerk - Niederbieber 74",https://data.cultureelerfgoed.nl/term/id/abr/7ecaabb7-25b7-4258-983a-f684086054c6,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,AMFOOR.STAND,standamfoor,Niederbieber 74
AMFOOR.OB83,"amfoor, dikwandig aardewerk - Oberaden 83",https://data.cultureelerfgoed.nl/term/id/abr/eaed6c46-e9bf-4a69-88b9-c430b15c6615,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Oberaden 83
AMFOOR.PEL46,"amfoor, dikwandig aardewerk - Pelichet 46",https://data.cultureelerfgoed.nl/term/id/abr/47d21017-fd08-48a1-becf-c2f2c4d24182,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,Pelichet 46
AMFOOR.PEL47,"amfoor, dikwandig aardewerk - Pelichet 47:standamfoor",https://data.cultureelerfgoed.nl/term/id/abr/047a880b-2df4-4495-a29d-53287ae1e5bf,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,AMFOOR.STAND,standamfoor,Pelichet 47:standamfoor
AMFOOR.PUNTAMFOOR,amfoor aardewerk:puntamfoor,https://data.cultureelerfgoed.nl/term/id/abr/f279cc16-a16f-4f8f-96c3-4318a6fc4318,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,PUNTAMF,puntamfoor,
