abr_ware_code,ware_label_nl,ware_uri,en_aliases,needs_review
,AOO-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/7437fa33-2bbb-42cf-b455-8c371c68473f,,
,"Aardewerk, gedraaid",https://data.cultureelerfgoed.nl/term/id/abr/cd04da9d-9746-46a0-99a4-2f57409963b9,,
,"Aardewerk, handgevormd",https://data.cultureelerfgoed.nl/term/id/abr/3ffc89fc-4c23-476c-801e-626245fc90cb,,
,Assendelftstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/9cb63385-c816-4cec-a0d3-b1b7c3719cc5,,
,Aziatisch porselein,https://data.cultureelerfgoed.nl/term/id/abr/22f627c0-6123-447f-ba8f-5b468f2d8b41,,
,Aziatisch steengoed,https://data.cultureelerfgoed.nl/term/id/abr/64a3693d-31e5-4098-a084-376c533a5d12,,
,Badorf aardewerk met pasteuze verf,https://data.cultureelerfgoed.nl/term/id/abr/b28c4b66-b73a-485e-a531-598e0c3f9d72,,
,Begleitkeramik,https://data.cultureelerfgoed.nl/term/id/abr/a5e69f8e-17db-4394-a4a1-332056eeef19,,
,Belgisch/Gallo-Belgisch aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/925c7735-b53f-4eef-805d-b9c5749831bf,,
,Bischheim,https://data.cultureelerfgoed.nl/term/id/abr/f497b42f-86d4-4223-be59-2813c6b7b817,,
,Blicquy(achtig)-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e144eb9c-89da-4e94-93a3-763e63c4c95d,,
,Broekpolderstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/c1d991cc-6951-4cc8-bf6f-71d03f5a1f20,,
,Den Haagstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/71edbbba-1dda-40c8-a6c8-956cfe8d107f,,
,Domburgstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/a17e62de-6274-4816-b125-e7f39fbc2355,,
,Drakenstein-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/bdc3233e-829f-4466-9a9e-ed0a9ae6a6f1,,
,Drenthe-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/ae2f21bc-ece9-4708-b57d-4885459de055,,
,Duits tinglazuuraardewerk,https://data.cultureelerfgoed.nl/term/id/abr/9c59c31a-b382-436f-a76e-135d47341154,,
