site_id,site_name,site_toponym,site_x_coordinate,site_y_coordinate,report_id,report_site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,109,Terracotta pipe,,terracotta pipes,Terracotta pipe,,-12,450,period_term,present,6,"Identified as terracotta pipes with flanges, possibly Roman, from the museum repository.",7,"Found in the repository of the Roman Baths Museum at Heerlen, though their Roman date is hedged.",8,period word in the find's own quote,7,"Two flanged pipes, which were not fired until completely hard, but were also not made on a potter's wheel, may be Roman, however (Fig. 5.27)."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,117,Pottery,,pottery finds,Pottery,,70,150,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in the ditch in trench 1.,8,date read from the passage,6,The few pottery finds from the ditch could not be dated any more accurately than Middle Roman A (AD 70-150).
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,117,Beaker with metallic sheen,,beaker with a metallic sheen,Beaker with metallic sheen,1,201,300,claude_text,present,8,Explicitly described as a beaker with a metallic sheen in the text.,9,Single sherd explicitly found in trench 2 used to date the foundation.,8,date read from the passage,8,"The foundation itself most probably dates to the third century, on the basis of a single sherd of a beaker with a metallic sheen."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,118,Pottery,,pottery,Pottery,,70,110,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Pottery explicitly found in feature S17 in trench 4.,8,date read from the passage,6,"Some 40 cm of a hole or ditch preserved immediately to the south of the foundation (S17) has been dated relatively early, to between AD 70 and 110, on the basis of pottery."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,119,Pottery,,pottery,Pottery,,201,300,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Pottery explicitly found in trench S68 in trench 9.,8,date read from the passage,6,"The large trench S68 has been dated to (at least) the third century, on the basis of the pottery"
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,119,Pottery,,shard from the first century AD,Pottery,1,1,100,claude_text,present,0,Generic shard with no specific ware named.,9,Explicitly found beneath the slab in trench 10.,8,date read from the passage,6,A shard from the first century AD was however found beneath the slab.
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Pompeian-Red ware plate,Peacock 1/Goudineau 16/Oberaden 21a,platters in Pompeian-Red ware,Pompeian-Red ware plate,,-27,70,claude_text,present,10,Explicitly named as Pompeian-Red ware platters with typology code given.,10,Explicitly found in large numbers at the Roman baths site.,8,date read from the passage,9,"The most striking examples for this period are the platters in Pompeian-Red ware (Fig. 8.1), some of which have a lid, which were found in large numbers."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Jar,,jars in grey wares,Jar,,-27,70,claude_text,present,9,Explicitly described as jars in grey wares (Rhineland granular grey ware).,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,Fairly finely executed jars in grey wares with a highly characteristic coarse fabric - Rhineland granular grey ware - were used for cooking.
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Amphora,,Amphorae,Amphora,,-27,70,claude_text,present,10,Explicitly named as amphorae found at the site.,9,Explicitly found at the Roman baths site in the pre-Claudian period.,8,date read from the passage,9,"Amphorae were brought in to supply them with wine, from Campania (Italy) and other places."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Terra nigra mixing bowl,,mixing bowls (kalices) of terra nigra,Terra nigra mixing bowl,,-27,70,claude_text,present,9,Explicitly named as terra nigra mixing bowls (kalices).,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,This wine was mixed in delicately made mixing bowls (kalices) of terra nigra.
12034,Kerkrade,Winckelen,199060,319550,12703,198000,137,Thin-walled ware beaker,,beakers (thin-walled ware,Thin-walled ware beaker,,-27,70,claude_text,present,9,Explicitly named as thin-walled ware beakers.,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,"people drank from beakers (thin-walled ware, terra sigillata, terra rubra, terra nigra)"
12034,Kerkrade,Winckelen,199060,319550,12703,198000,137,Terra sigillata beaker,,"beakers (thin-walled ware, terra sigillata",Terra sigillata beaker,,-27,70,claude_text,present,9,Explicitly named as terra sigillata beakers.,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,"people drank from beakers (thin-walled ware, terra sigillata, terra rubra, terra nigra)"
12034,Kerkrade,Winckelen,199060,319550,12703,198000,137,Terra rubra beaker,,terra rubra,Terra rubra beaker,,-27,70,claude_text,present,9,Explicitly named as terra rubra beakers.,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,"people drank from beakers (thin-walled ware, terra sigillata, terra rubra, terra nigra)"
12034,Kerkrade,Winckelen,199060,319550,12703,198000,137,Terra nigra beaker,,terra nigra,Terra nigra beaker,,-27,70,claude_text,present,9,Explicitly named as terra nigra beakers.,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,"people drank from beakers (thin-walled ware, terra sigillata, terra rubra, terra nigra)"
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Terra sigillata plate,,plates and dishes (terra sigillata,Terra sigillata plate,,-27,70,claude_text,present,9,Explicitly named as terra sigillata plates and dishes.,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,food was served on plates and dishes (terra sigillata and terra nigra)
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Terra nigra plate,,terra nigra,Terra nigra plate,,-27,70,claude_text,present,9,Explicitly named as terra nigra plates and dishes.,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,food was served on plates and dishes (terra sigillata and terra nigra)
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Mortarium,,Mortaria,Mortarium,,-27,70,claude_text,present,9,Explicitly named as mortaria imported from Aosta and Lyon.,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,Mortaria were imported from Aosta and Lyon for the new methods of preparing food
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Flagon,,flagon,Flagon,,-27,70,claude_text,present,9,Explicitly named as flagons found at the site.,9,Found at the Roman baths site in the pre-Claudian period context.,8,date read from the passage,9,Drinks (probably wine) were also poured from a new type of vessel: the flagon.
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,137,Cork urn,,Early versions of 'cork urns',Cork urn,,-27,37,claude_text,present,9,Explicitly named as cork urns found in significant numbers.,10,Explicitly found at the Roman baths site in significant numbers.,8,date read from the passage,9,Early versions of 'cork urns' found at the Roman baths site in significant numbers were typical of the Augustan-Tiberian period.
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,138,Colour-coated beaker,CC-HEERL-BE4,colour-coated beaker CC-HEERL-BE4,Colour-coated beaker,,50,120,claude_text,present,10,Explicitly named with typology code CC-HEERL-BE4.,10,Explicitly found at the Roman baths site.,8,date read from the passage,9,"We must first highlight the colour-coated beaker CC-HEERL-BE4 (Fig. 8.2), which was produced in the oldest kiln found so far in Heerlen."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,138,Mortarium,Oberaden 72,mortarium MOR-HEERL-M18,Mortarium,,1,50,claude_text,present,10,Explicitly named as mortarium with typology Oberaden 72.,10,"Explicitly found at the Roman baths site, made in Heerlen.",8,date read from the passage,9,"The mortarium MOR-HEERL-M18, which was made in Heerlen, also has a counterpart from Lyon, and even from Aosta in northern Italy. Mortaria of this form type (Oberaden 72) are generally dated to the first half of the first century."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,138,Early Roman cup,Hofheim 22,small colour-coated bowl Hofheim 22 in Heerlen ware,Early Roman cup,,40,100,claude+typology,present,9,Explicitly named as colour-coated bowl Hofheim 22 in Heerlen ware.,8,"Found at the Roman baths site, identification stated with 'probably'.",9,dated from typology code (only as certain as the identification),9,The small colour-coated bowl Hofheim 22 in Heerlen ware probably dates from this period too.
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,139,Mortarium,,mortaria with traces of soot on the inside,Mortarium,,41,300,claude_text,present,9,Explicitly named as mortaria with soot traces.,9,Explicitly found at the Roman baths site distributed over several excavation pits.,8,date read from the passage,9,Another group of finds that may have been used in the building housing the baths are the many mortaria with traces of soot on the inside.
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,139,Colour-coated beaker,,colour-coated beakers,Colour-coated beaker,,70,120,claude_text,present,9,Explicitly named as colour-coated beakers retrieved during excavation.,10,Explicitly retrieved during work performed in 1940-1941 inside the bathhouse.,8,date read from the passage,9,Several colour-coated beakers and terra nigra dishes (dated to the period between c. 70 and 120) were retrieved during work performed in 1940-1941.
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,139,Terra nigra dish,,terra nigra dishes,Terra nigra dish,,70,120,claude_text,present,9,Explicitly named as terra nigra dishes retrieved during excavation.,10,Explicitly retrieved during work performed in 1940-1941 inside the bathhouse.,8,date read from the passage,9,Several colour-coated beakers and terra nigra dishes (dated to the period between c. 70 and 120) were retrieved during work performed in 1940-1941.
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,139,Colour-coated Heerlen ware beaker,,Fragments of colour-coated Heerlen beakers,Colour-coated Heerlen ware beaker,,50,120,claude_text,present,9,Explicitly named as colour-coated Heerlen beakers collected during trial trench survey.,10,Explicitly collected during the trial trench survey at the bathhouse.,8,date read from the passage,9,"Fragments of colour-coated Heerlen beakers, terra rubra, terra nigra and flagons were collected during the trial trench survey performed at the bathhouse, too."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,139,Terra rubra,,terra rubra,Terra rubra,,50,120,claude_text,present,9,Explicitly named as terra rubra collected during trial trench survey.,10,Explicitly collected during the trial trench survey at the bathhouse.,8,date read from the passage,9,"Fragments of colour-coated Heerlen beakers, terra rubra, terra nigra and flagons were collected during the trial trench survey performed at the bathhouse, too."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,139,Terra nigra,,terra nigra,Terra nigra,,50,120,claude_text,present,9,Explicitly named as terra nigra collected during trial trench survey.,10,Explicitly collected during the trial trench survey at the bathhouse.,8,date read from the passage,9,"Fragments of colour-coated Heerlen beakers, terra rubra, terra nigra and flagons were collected during the trial trench survey performed at the bathhouse, too."
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,139,Flagon,,flagons,Flagon,,50,120,claude_text,present,9,Explicitly named as flagons collected during trial trench survey.,10,Explicitly collected during the trial trench survey at the bathhouse.,8,date read from the passage,9,"Fragments of colour-coated Heerlen beakers, terra rubra, terra nigra and flagons were collected during the trial trench survey performed at the bathhouse, too."
12034,Kerkrade,Winckelen,199060,319550,12703,198000,139,Terra nigra tableware,,fine tableware (terra nigra,Terra nigra tableware,,70,175,claude_text,present,9,Explicitly named as terra nigra fine tableware found at the site.,9,Found at the Roman baths site in the period c. AD 70-175.,8,date read from the passage,9,"At the Roman baths site, too, the fine tableware (terra nigra, terra rubra, colour-coated) and the flagons account for a considerable proportion of the spectrum"
12034,Kerkrade,Winckelen,199060,319550,12703,198000,139,Terra rubra tableware,,terra rubra,Terra rubra tableware,,70,175,claude_text,present,9,Explicitly named as terra rubra fine tableware found at the site.,9,Found at the Roman baths site in the period c. AD 70-175.,8,date read from the passage,9,"At the Roman baths site, too, the fine tableware (terra nigra, terra rubra, colour-coated) and the flagons account for a considerable proportion of the spectrum"
12034,Kerkrade,Winckelen,199060,319550,12703,198000,139,Colour-coated ware,,colour-coated,Colour-coated ware,,70,175,claude_text,present,9,Explicitly named as colour-coated fine tableware found at the site.,9,Found at the Roman baths site in the period c. AD 70-175.,8,date read from the passage,9,"At the Roman baths site, too, the fine tableware (terra nigra, terra rubra, colour-coated) and the flagons account for a considerable proportion of the spectrum"
12034,Kerkrade,Winckelen,199060,319550,12703,198000,139,Flagon,,flagons,Flagon,,70,175,claude_text,present,9,Explicitly named as flagons found at the site.,9,Found at the Roman baths site in the period c. AD 70-175.,8,date read from the passage,9,"At the Roman baths site, too, the fine tableware (terra nigra, terra rubra, colour-coated) and the flagons account for a considerable proportion of the spectrum"
12034,Kerkrade,Winckelen,199060,319550,12703,Heerlen,140,Jar,,"Jars, bowls and dishes with a heart-shaped profile",Jar,,70,175,claude_text,present,9,Explicitly named as jars among the coarse wares at the site.,9,Found at the Roman baths site as part of the Heerlen ware spectrum.,8,date read from the passage,9,"Jars, bowls and dishes with a heart-shaped profile are the most common among the coarse wares"
