site_id,site_name,toponym,site_literature_ids,literature_link_level,find_id,original_id,ceramic_category,ceramic_type_original,typology,material_original,start_period_original,end_period_original,start_date,end_date,date_span_years,record_weight,original_count,original_count_known,date_type,source,x_coordinate_rd,y_coordinate_rd,comments,original_comments,type_url,material_url,selection_scenario
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62727,300861,Pottery vessel or vessel ware,"Aardewerk, handgevormd:onbepaald",,keramiek,ROMV,ROMLA,-12,350,362,1,24,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/9a445709-94e0-49ba-b2db-3ad9fefca550,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62729,300863,Pottery vessel or vessel ware,dikwandig:onbepaald,,keramiek,ROMV,ROMLA,-12,350,362,1,20,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/60438e08-041c-4055-86a2-a096e249cbb4,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62739,300873,Pottery vessel or vessel ware,amfoor aardewerk:onbepaald,,keramiek,ROMV,ROMLA,-12,350,362,1,31,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/dda539d4-48a1-4568-a52f-d6440d1c3835,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62743,300877,Pottery vessel or vessel ware,dolium,,keramiek,ROMV,ROMLA,-12,350,362,1,44,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/0f542315-8ba5-4eb6-a93c-bdbfd378848f,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62719,300841,Pottery vessel or vessel ware,aardewerk:onbepaald,,keramiek,ROM,ROM,-12,450,462,1,136,True,ABR,Archis3,197961,322870,,,https://data.cultureelerfgoed.nl/term/id/abr/8289d9d4-bdc5-4c85-91fb-b11262b3c423,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62723,300857,Roofing ceramic,tegula,,keramiek,ROMV,ROML,-12,450,462,1,362,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/1bd1d384-d48a-45d0-a057-5370bbb552ed,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62748,800283,Pottery vessel or vessel ware,aardewerk:onbepaald,,keramiek,ROM,ROM,-12,450,462,1,5,True,ABR,Archis3,197837,322790,,,https://data.cultureelerfgoed.nl/term/id/abr/8289d9d4-bdc5-4c85-91fb-b11262b3c423,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62732,300866,Pottery vessel or vessel ware,terra nigra:onbepaald,,keramiek,ROMVB,ROMM,25,270,245,1,9,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/1d9d55de-45bf-4ff6-bcc3-08976023fce9,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62735,300869,Pottery vessel or vessel ware,"wrijfschaal, dikwandig aardew.",,keramiek,ROMVB,ROMM,25,270,245,1,98,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/671b3b1b-2521-4143-9188-14f1a921dc8f,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62750,1276360,Other/indeterminate ceramic object,gebruiksvoorwerp,,aardewerk,ROMMA,ROMMA,70,150,80,1,,False,ABR,Archis3,197848,322902,,,https://data.cultureelerfgoed.nl/term/id/abr/a45b08d0-5fa8-4d9c-a6ab-24b21fc9f502,https://data.cultureelerfgoed.nl/term/id/abr/9084ba17-eefe-44db-8eab-d7b746668d9b,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62730,300864,Pottery vessel or vessel ware,geverfd aardewerk:onbepaald,,keramiek,ROMM,ROMM,70,270,200,1,67,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/023eda53-9d0e-4194-b56d-4d5075d12aba,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
11927,Schaesberg,Leenderhof,12707;12727,site-level only; not a find-to-PDF link,62731,300865,Pottery vessel or vessel ware,terra sigillata:onbepaald,,keramiek,ROMM,ROMM,70,270,200,1,14,True,ABR,Archis3,197959,322873,,,https://data.cultureelerfgoed.nl/term/id/abr/2641545d-0da9-460f-96d5-048dd7a4479d,https://data.cultureelerfgoed.nl/term/id/abr/6d7809db-db25-4c09-90c3-e455f61148a9,Selected villa site; all ceramic objects included; complete date range within ARCHIS Roman period -12 to 450; one analytical record per FindID
