metric,run_1,run_2,run_3,run_4,run_5,mean,sd_sample,min,max,range,cv_pct
pairs_reconciled,3,3,3,2,4,3,0.7071,2,4,2,24
field_correctness_pct_raw,92.90,93.25,92.65,93.80,92.52,93.02,0.5154,92.52,93.80,1.28,0.55
field_correctness_pct_corrected,94.79,95.06,94.46,95.06,95.04,94.88,0.2621,94.46,95.06,0.60,0.28
correct_values_corrected,1147,1155,1143,1155,1150,1150,5.196,1143,1155,12,0.45
total_values_corrected,1210,1215,1210,1215,1210,1212,2.739,1210,1215,5,0.23
site_name_incorrect_corrected,5,5,5,5,5,5,0,5,5,0,0
pottery_incorrect_corrected,3,3,3,2,4,3,0.7071,2,4,2,24
typology_incorrect_corrected,1,0,1,0,0,0.4,0.5477,0,1,1,1.4e+02
start_date_incorrect_corrected,11,9,13,11,9,10.6,1.673,9,13,4,16
end_date_incorrect_corrected,13,13,15,12,12,13,1.225,12,15,3,9.4
