metric,run_1,run_2,run_3,run_4,run_5,mean,sd_sample,min,max,range,cv_pct
field_correctness_pct,92.9,93.25,92.65,93.8,92.52,93.02,0.5154,92.52,93.8,1.28,0.55
correct_values,1138,1147,1135,1149,1138,1141,6.189,1135,1149,14,0.54
incorrect_values,27,23,30,26,22,25.6,3.209,22,30,8,13
missing_values,40,35,40,30,45,38,5.701,30,45,15,15
overclaim_values,20,25,20,20,25,22,2.739,20,25,5,12
total_values,1225,1230,1225,1225,1230,1227,2.739,1225,1230,5,0.22
site_name_correct,228,229,228,230,227,228.4,1.14,227,230,3,0.5
site_name_incorrect,5,5,5,5,5,5,0,5,5,0,0
pottery_correct,233,234,233,235,232,233.4,1.14,232,235,3,0.49
pottery_incorrect,0,0,0,0,0,0,0,0,0,0,0
typology_correct,232,234,232,235,232,233,1.414,232,235,3,0.61
typology_incorrect,1,0,1,0,0,0.4,0.5477,0,1,1,1.4e+02
start_date_correct,224,227,222,225,226,224.8,1.924,222,227,5,0.86
start_date_incorrect,9,7,11,10,6,8.6,2.074,6,11,5,24
end_date_correct,221,223,220,224,221,221.8,1.643,220,224,4,0.74
end_date_incorrect,12,11,13,11,11,11.6,0.8944,11,13,2,7.7
