report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
13070,Heerlen,34,Handmade ware,,handgevormd aardewerk,Handmade ware,,,,claude,present,9,Explicitly named as handgevormd aardewerk in the text.,9,"Found in paalspoor 11, put 42, deelgebied A.",0,no date stated,6,Paalspoor 11 leverde wel vondsten op: 3 scherven handgevormd aardewerk.
13070,Heerlen,35,Handmade ware,,handgevormd aardewerk,Handmade ware,1,,,claude,present,9,Explicitly named as handgevormd aardewerk.,9,"Explicitly found in paalkuil S11, put 42.",0,no date stated,6,"een scherf handgevormd aardewerk uit een mogelijke paalkuil (S11, put 42, vondstnummer 4)"
13070,Heerlen,35,Wheel-thrown ware,,gedraaid aardewerk,Wheel-thrown ware,1,-12,450,claude_text,present,9,Explicitly named as gedraaid aardewerk from the Roman period.,9,"Found in bouwvoor in put 230, deelgebied A.",8,date read from the passage,9,De scherf gedraaid aardewerk dateert uit de Romeinse tijd en is gevonden in de bouwvoor in put 230.
13070,Heerlen,35,Handmade ware,,handgevormd aardewerk,Handmade ware,1,-12,450,period_term,present,9,Explicitly named as handgevormd aardewerk from spoor 31.,9,"Found in spoor 31, put 27, greppel 3, deelgebied A.",8,period word in the find's own quote,9,Bij de scherf handgevormd aardewerk uit spoor 31 (vondstnummer 7) is ook een klein fragment van een Romeinse dakpan gevonden
13070,Heerlen,41,Coarse ware,,ruwwandig aardewerk,Coarse ware,,70,270,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,"Found at the Roman settlement, vindplaats 3, deelgebied B.",8,date read from the passage,6,"Het betreft voor Zuid-Limburg typisch Romeins nederzettingsaardewerk, met name ruwwandig aardewerk (kookpotten, wrijfschalen, bekers, dolia)"
13070,Heerlen,41,Cooking pot,,kookpotten,Cooking pot,,70,270,claude_text,present,9,Explicitly named as kookpotten within the ruwwandig aardewerk list.,9,"Found at the Roman settlement, vindplaats 3, deelgebied B.",8,date read from the passage,9,"met name ruwwandig aardewerk (kookpotten, wrijfschalen, bekers, dolia)"
13070,Heerlen,41,Mortarium,,wrijfschalen,Mortarium,,70,270,claude_text,present,9,Explicitly named as wrijfschalen within the ruwwandig aardewerk list.,9,"Found at the Roman settlement, vindplaats 3, deelgebied B.",8,date read from the passage,9,"met name ruwwandig aardewerk (kookpotten, wrijfschalen, bekers, dolia)"
13070,Heerlen,41,Beaker,,bekers,Beaker,,70,270,claude_text,present,9,Explicitly named as bekers within the ruwwandig aardewerk list.,9,"Found at the Roman settlement, vindplaats 3, deelgebied B.",8,date read from the passage,9,"met name ruwwandig aardewerk (kookpotten, wrijfschalen, bekers, dolia)"
13070,Heerlen,41,Dolium,,dolia,Dolium,,70,270,claude_text,present,9,Explicitly named as dolia within the ruwwandig aardewerk list.,9,"Found at the Roman settlement, vindplaats 3, deelgebied B.",8,date read from the passage,9,"met name ruwwandig aardewerk (kookpotten, wrijfschalen, bekers, dolia)"
13070,Heerlen,41,Flagon ware,,kruikaardewerk,Flagon ware,,70,270,claude_text,present,9,Explicitly named as kruikaardewerk.,9,"Found at the Roman settlement, vindplaats 3, deelgebied B.",8,date read from the passage,9,maar ook kruikaardewerk (kannen en pullen)
13070,Heerlen,41,Painted ware,,beschilderd aardewerk,Painted ware,,70,270,claude_text,present,9,Explicitly named as beschilderd aardewerk (beakers).,9,"Found at the Roman settlement, vindplaats 3, deelgebied B.",8,date read from the passage,9,beschilderd aardewerk (bekers)
