Site_name,ID (temp),Pot_name,Typology,,,Start_date,End_date,Page,Reference_File_Name,Original_text
Voerendaal-Ten Hove,1,Terra sigillata decorated bowl,Dragendorff 29,,,15,100,1,New_Rep_2_Test_Workflow,"--/89-0-0/8128, Drag. 29"
Voerendaal-Ten Hove,2,Terra sigillata decorated bowl,Dragendorff 29,,,15,100,1,New_Rep_2_Test_Workflow,"304-1/20-5-8, Drag. 29"
Voerendaal-Ten Hove,3,Terra sigillata decorated bowl,Dragendorff 29,,,15,100,1,New_Rep_2_Test_Workflow,"399-2/1953-2.8, Drag. 29"
Voerendaal-Ten Hove,4,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,2,New_Rep_2_Test_Workflow,"--/95-1-19/10813, Drag"
Voerendaal-Ten Hove,5,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,2,New_Rep_2_Test_Workflow,"“--/1895-12.43/13072, Drag"
Voerendaal-Ten Hove,6,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,2,New_Rep_2_Test_Workflow,"--/13-3-15/1588, Drag. 37"
Voerendaal-Ten Hove,7,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,2,New_Rep_2_Test_Workflow,"--/13-3-9/1571, Drag. 37"
Voerendaal-Ten Hove,8,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,2,New_Rep_2_Test_Workflow,"--/95-1-18/10762, Drag"
Voerendaal-Ten Hove,9,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,2,New_Rep_2_Test_Workflow,"--/0-0-0/12972, Drag. 37"
Voerendaal-Ten Hove,10,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,2,New_Rep_2_Test_Workflow,"--/27-4-7/5351, Drag. 37"
Voerendaal-Ten Hove,11,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,3,New_Rep_2_Test_Workflow,"302-6/100-1-6, Drag. 37"
