Site_name,ID (temp),Pot_name,Typology,,,Start_date,End_date,Original_text,Page,Reference_File_Name
Heerlen,1,Terra sigillata plate,Dragendorff 18/31,,,70,200,Dragendorff 18,1,Old_Rep_4_Test_Workflow
Heerlen,2,Terra sigillata cup,Dragendorff 33,,,40,300,Dragendorff 33,1,Old_Rep_4_Test_Workflow
Heerlen,3,Terra sigillata decorated bowl,Dragendorff 37,,,70,300,Dragendorff 37,1,Old_Rep_4_Test_Workflow
Heerlen,4,Colour-coated ware with barbotine decoration,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,5,Colour-coated ware without barbotine decoration,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,6,Terra nigra,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,7,Terra rubra,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,8,Smooth-walled ware,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,9,Coarse ware,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,10,Mortarium with pouring spout,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,11,Mortarium without pouring spout,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,12,Lid,,,,-12,450,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragmenten met en zonder uit·schenkrand en dekselfragmenten. De voorwerpen werden toegevoegd aan de afdeling Romeinse verzamelingen van het Gemeentemuseum te Heerlen.",1,Old_Rep_4_Test_Workflow
Heerlen,13,Coarse ware,,,,-12,450,ruwwandige,2,Old_Rep_4_Test_Workflow
Heerlen,14,Terra sigillata,,,,-12,450,terra sigillatascherven verspreid,2,Old_Rep_4_Test_Workflow
