Site_name,ID (temp),Pot_name,Typology,term_found,,Start_date,End_date,Page,Original_text,Reference_File_Name
Voerendaal-Ten Hove,1,amphora,Mayen R19,,,365,435,1,amphora,Table_1_Test_Workflow
Voerendaal-Ten Hove,2,Late Roman bowl,Alzey 28,,,300,450,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,3,Late Roman storage vessel,Alzey 29,,,300,450,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,4,Coarse ware bowl,Niederbieber 104,,,100,300,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,5,Trier bowl,"Trier III, 40a",,,280,355,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,6,Bowl,,,,270,450,1,bowl/jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,7,Bowl/Jar,,,,270,450,1,dolium,Table_1_Test_Workflow
Voerendaal-Ten Hove,8,Bowl/Jar,,,,270,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,9,Late Roman cooking pot,Alzey 27,,,300,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,10,Dolium,,,,270,450,1,jug,Table_1_Test_Workflow
Voerendaal-Ten Hove,11,Late Roman storage jar,Alzey 30,,,300,450,1,jug,Table_1_Test_Workflow
Voerendaal-Ten Hove,12,Jar,,,,270,450,1,plate,Table_1_Test_Workflow
Voerendaal-Ten Hove,13,Late Roman lid,Alzey 34,,,300,420,1,plate,Table_1_Test_Workflow
Voerendaal-Ten Hove,14,Jar,,,,270,450,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,15,Late Roman bowl,Alzey 28,,,300,450,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,16,Jar,,,,270,450,1,bowl/jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,17,Late Roman cooking pot,Alzey 27,,,300,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,18,Jar,,,,270,450,1,jug,Table_1_Test_Workflow
Voerendaal-Ten Hove,19,Jar,,,,270,450,1,plate,Table_1_Test_Workflow
Voerendaal-Ten Hove,20,Late Roman storage vessel,Alzey 29,,,300,450,1,plate,Table_1_Test_Workflow
Voerendaal-Ten Hove,21,Coarse ware bowl,Niederbieber 104 cf.,,,100,300,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,22,Jar,,,,270,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,23,Late Roman storage jar,Alzey 30,,,300,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,24,Jar,,,,270,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,25,Jug,,,,270,450,1,plate,Table_1_Test_Workflow
Voerendaal-Ten Hove,26,Late Roman bowl,Alzey 28 cf.,,,300,450,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,27,Cheese strainer,FG1a,,,40,120,1,cheese strainer,Table_1_Test_Workflow
Voerendaal-Ten Hove,28,Jug,,,,270,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,29,Late Roman cooking pot,Alzey 27,,,300,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,30,Coarse ware cooking pot,Niederbieber 89,,,150,300,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,31,Late Roman storage jar,Alzey 30,,,300,450,1,jug,Table_1_Test_Workflow
Voerendaal-Ten Hove,32,Late Roman storage vessel,Alzey 29,,,300,450,1,plate,Table_1_Test_Workflow
Voerendaal-Ten Hove,33,Trier bowl,"Trier III, 40a",,,280,355,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,34,Plate,,,,270,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,35,Late Roman storage vessel,Alzey 29,,,300,450,1,bowl,Table_1_Test_Workflow
Voerendaal-Ten Hove,36,Plate,,,,270,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,37,Plate,,,,270,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,38,Late Roman dish,Alzey 33 cf,,,350,450,1,jar,Table_1_Test_Workflow
Voerendaal-Ten Hove,39,Late Roman cooking pot,Alzey 27,,,300,450,1,jar,Table_1_Test_Workflow
