Site_name,ID (temp),Pot_name,Typology,,,Start_date,End_date,Original_text,Page,Reference_File_Name
508067,1,Pottery,,,,-12,450,"Romeinse tijd: aardewerk.",1,Table_2_Test_Workflow
508067,2,Pottery,,,,70,270,"Rond het gebouw werden enkele paalgaten en kuilen teruggevonden, met in de kuilen aardewerk en bouwmateriaal.",1,Table_2_Test_Workflow
500203,3,Pottery,,,,-12,450,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin,aardewerk.",2,Table_2_Test_Workflow
500205,4,Pottery,,,,-12,450,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk",2,Table_2_Test_Workflow
500218,5,Pottery,,,,-12,450,"Romeinse tijd: vermoedelijk Romeinse villa, concentratie dakpanfragmenten,
aardewerk.",2,Table_2_Test_Workflow
500219,6,Pottery,,,,-12,450,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk",2,Table_2_Test_Workflow
500227,7,Terra sigillata,,,,-12,450,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)",3,Table_2_Test_Workflow
500227,8,Dolium,,,,-12,450,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)",3,Table_2_Test_Workflow
500227,9,Cooking pot,,,,-12,450,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)",3,Table_2_Test_Workflow
500227,10,Flagon ware,,,,-12,450,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)",3,Table_2_Test_Workflow
500383,11,Pottery,,,,-12,450,"Romeinse tijd: aardewerk, bouwmateriaal.",3,Table_2_Test_Workflow
500050,12,Pottery,,,,-250,-12,"Late ijzertijd: kuil met brokken verbrande leem, houtskoolfragmenten en organische resten, 250-tal scherven uit bewoningslaag, kuil en paalgaten.",1,Table_2_Test_Workflow
508040,13,Handmade ware pot,,,,-250,-12,een aantal bodem- en wandscherven van een pot in handgemaakt aardewerk,1,Table_2_Test_Workflow
