Site_name,ID (temp),Pot_name,Typology,Start_date,End_date,Original_text,Page,Reference_File_Name
Nijmegen,1,Arretina,,-19,-16,Arretina,1,Table_3_Test_Workflow
Nijmegen,2,Fine ware,,-19,-16,Fine ware,1,Table_3_Test_Workflow
Nijmegen,3,Gallo-Belgic ware,,-19,-16,Gallo-Belgic ware,1,Table_3_Test_Workflow
Nijmegen,4,Pompeian red ware,,-19,-16,Pompeian red ware,1,Table_3_Test_Workflow
Nijmegen,5,Smooth ware,,-19,-16,Smooth ware,1,Table_3_Test_Workflow
Nijmegen,6,Amphora,,-19,-16,Amphorae,1,Table_3_Test_Workflow
Nijmegen,7,Dolium,,-19,-16,Dolia,1,Table_3_Test_Workflow
Nijmegen,8,Mortarium,,-19,-16,Mortaria,1,Table_3_Test_Workflow
Nijmegen,9,Coarse ware,,-19,-16,Coarse ware,1,Table_3_Test_Workflow
Nijmegen,10,Cork ware,,-19,-16,Cork ware,1,Table_3_Test_Workflow
Nijmegen,11,Handmade pottery,,-19,-16,Handmade pottery,1,Table_3_Test_Workflow
