Site_name,ID (temp),Pot_name,Typology,Original_text,,Start_date,End_date,Page,Reference_File_Name
Nijmegen,1,Amphora,,globular,,-20,-10,1,Table_4_Test_Workflow
Nijmegen,2,Baetica defrutum amphora,Haltern 70,Haltern 70,,-50,100,1,Table_4_Test_Workflow
Nijmegen,3,Amphora,,cylindrical,,-20,-10,1,Table_4_Test_Workflow
Nijmegen,4,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11,,-20,90,1,Table_4_Test_Workflow
Nijmegen,5,Spanish fish sauce amphora,Dressel 7,Dressel 7,,-30,60,1,Table_4_Test_Workflow
Nijmegen,6,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11,,-20,90,1,Table_4_Test_Workflow
Nijmegen,7,Spanish fish sauce amphora,Dressel 12,Dressel 12,,-20,80,1,Table_4_Test_Workflow
Nijmegen,8,Italian wine amphora,Dressel 1B,Dressel 1B,,-130,-10,1,Table_4_Test_Workflow
Nijmegen,9,Amphora,Lamboglia 2/Dressel 6A,Lamboglia2/Dressel6A,,-130,70,1,Table_4_Test_Workflow
Nijmegen,10,Amphora,Dressel 2-5,Dressel 2-5,,-30,250,1,Table_4_Test_Workflow
Nijmegen,11,pottery,Oberaden 83,Oberaden 83,,-11,-7,1,Table_4_Test_Workflow
Nijmegen,12,Coarse ware vessel,Camulodunum 184,Camulodunum 184,,43,250,1,Table_4_Test_Workflow
Nijmegen,13,Knidian wine amphora,Pompeii 38,Pompeii 38,,-50,100,1,Table_4_Test_Workflow
Nijmegen,14,Amphora,,unknown,,-20,-10,1,Table_4_Test_Workflow
Nijmegen,15,Amphora,,unknown,,-20,-10,1,Table_4_Test_Workflow
Nijmegen,16,Tarraconensian wine amphora,Pascual 1,Pascual 1,,-100,-20,1,Table_4_Test_Workflow
Nijmegen,17,Amphora,Haltern 59,mortaria with vertical rim Halternb 59,,-15,25,1,Table_4_Test_Workflow
Nijmegen,18,pottery,Oberaden 21,Oberadenb 21b plates in Pompeian red ware,,-11,-7,1,Table_4_Test_Workflow
Nijmegen,19,jug,Stuart 103/Oberaden 43,flagons Stuartb 103/Oberaden 43,,70,250,1,Table_4_Test_Workflow
Nijmegen,20,Smooth-walled jug,Stuart 131/Oberaden 48-49,Stuartb 131/Oberadenb 48-49,,120,300,1,Table_4_Test_Workflow
Nijmegen,21,Flagon,Stuart 133/Oberaden 52,flagons Stuartb 133/Oberadenb 52,,70,250,1,Table_4_Test_Workflow
Nijmegen,22,Smooth-walled honey pot,Stuart 146,honey pots' Stuartb 146b,,100,300,1,Table_4_Test_Workflow
Nijmegen,23,pottery,Stuart 147,large handmade dolia Stuart 147,,70,250,1,Table_4_Test_Workflow
Nijmegen,24,Dolium,,dolia with a small twisted Wulstrand,,-27,14,1,Table_4_Test_Workflow
Nijmegen,25,Terra sigillata,,terra sigillata,,-27,14,1,Table_4_Test_Workflow
Nijmegen,26,Beaker,,ࡼne ware beakers,,-27,14,1,Table_4_Test_Workflow
Nijmegen,27,Cooking pot,,cooking pots,,-27,14,1,Table_4_Test_Workflow
Nijmegen,28,Pot,,pot,,-20,-10,1,Table_4_Test_Workflow
