report,site_name_exact,site_name_acceptable,site_name_incorrect,site_name_missing,site_name_overclaim,pottery_exact,pottery_acceptable,pottery_incorrect,pottery_missing,pottery_overclaim,typology_exact,typology_acceptable,typology_incorrect,typology_missing,typology_overclaim,start_date_exact,start_date_acceptable,start_date_incorrect,start_date_missing,start_date_overclaim,end_date_exact,end_date_acceptable,end_date_incorrect,end_date_missing,end_date_overclaim,total_correct_values,total_incorrect_values,total_missing_values,total_overclaim_values,total_values
old_rep_1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,5,0,5,5,15
old_rep_2,6,0,0,1,0,6,0,0,1,0,6,0,0,1,0,5,1,0,1,0,5,0,1,1,0,29,1,5,0,35
old_rep_3,2,0,0,3,2,2,0,0,3,2,2,0,0,3,2,1,1,0,3,2,1,1,0,3,2,10,0,15,10,35
old_rep_4,14,0,0,0,0,14,0,0,0,0,14,0,0,0,0,12,0,2,0,0,12,0,2,0,0,66,4,0,0,70
old_rep_5,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,25,0,0,0,25
table_1,39,0,0,0,0,39,0,0,0,0,39,0,0,0,0,39,0,0,0,0,39,0,0,0,0,195,0,0,0,195
table_2,9,0,4,0,0,12,1,0,0,0,13,0,0,0,0,13,0,0,0,0,13,0,0,0,0,61,4,0,0,65
table_3,11,0,0,0,0,10,1,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,55,0,0,0,55
table_4,26,0,0,2,0,22,4,0,2,0,26,0,0,2,0,22,4,0,2,0,22,4,0,2,0,130,0,10,0,140
table_5,10,0,0,1,1,9,1,0,1,1,10,0,0,1,1,6,0,4,1,1,6,0,4,1,1,42,8,5,5,60
ocr_1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,5
ocr_2,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,40,0,0,0,40
ocr_3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,5
ocr_4,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,45,0,0,0,45
ocr_5,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,9,1,0,0,10
new_rep_1,11,0,0,0,0,10,1,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,55,0,0,0,55
new_rep_2,54,0,0,1,0,52,2,0,1,0,54,0,0,1,0,54,0,0,1,0,54,0,0,1,0,270,0,5,0,275
new_rep_3,6,0,0,0,0,2,4,0,0,0,6,0,0,0,0,5,1,0,0,0,6,0,0,0,0,30,0,0,0,30
new_rep_4,5,0,0,0,1,5,0,0,0,1,5,0,0,0,1,5,0,0,0,1,5,0,0,0,1,25,0,0,5,30
new_rep_5,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,5,0,3,0,0,37,3,0,0,40
TOTAL,227,0,5,9,5,217,15,0,9,5,232,0,0,9,5,219,7,6,9,5,216,5,11,9,5,1138,22,45,25,1230
