report,site_name_verdict,site_name_gold,site_name_workflow,pottery_verdict,pottery_gold,pottery_workflow,typology_verdict,typology_gold,typology_workflow,start_date_verdict,start_date_gold,start_date_workflow,end_date_verdict,end_date_gold,end_date_workflow
old_rep_1,exact,Ambij,Ambij,exact,Terra sigillata,Terra sigillata,exact,,,exact,-12,-12,exact,450,450
old_rep_1,exact,Ambij,Ambij,acceptable,Roman ware,Romani ware,exact,,,exact,-12,-12,exact,450,450
old_rep_2,exact,Houten,Houten,exact,Terra sigillata,Terra sigillata,exact,,,exact,-12,-12,exact,450,450
old_rep_2,exact,Houten,Houten,exact,Belgic ware,Belgic ware,exact,,,exact,-12,-12,exact,450,450
old_rep_2,exact,Houten,Houten,exact,Colour-coated ware,Colour-coated ware,exact,,,exact,-12,-12,exact,450,450
old_rep_2,exact,Houten,Houten,exact,Smooth-walled ware,Smooth-walled ware,exact,,,exact,-12,-12,exact,450,450
old_rep_2,exact,Houten,Houten,exact,Coarse ware,Coarse ware,exact,,,exact,-12,-12,exact,450,450
old_rep_2,exact,Kerkrade,Kerkrade,exact,Pottery,Pottery,exact,,,acceptable,1,-12,incorrect,50,20
old_rep_2,missing,Kerkrade,,missing,Terra sigillata,,missing,,,missing,-27,,missing,20,
old_rep_3,exact,Voerendaal,Voerendaal,exact,Terra sigillata,Terra sigillata,exact,,,acceptable,325,301,acceptable,375,400
old_rep_3,exact,Voerendaal,Voerendaal,exact,Terra sigillata,Terra sigillata,exact,,,incorrect,350,270,incorrect,420,450
old_rep_3,exact,Voerendaal,Voerendaal,exact,Pottery,Pottery,exact,,,exact,-800,-800,exact,-12,-12
old_rep_3,exact,Voerendaal,Voerendaal,acceptable,Handmade pottery,Handmade ware,exact,,,exact,270,270,incorrect,400,450
old_rep_3,missing,Voerendaal,,missing,Terra sigillata,,missing,Hübener Group 3,,missing,340,,missing,370,
old_rep_4,exact,Heerlen,Heerlen,exact,Terra sigillata plate,Terra sigillata plate,exact,Dragendorff 18/31,Dragendorff 18/31,exact,70,70,exact,200,200
old_rep_4,exact,Heerlen,Heerlen,exact,Terra sigillata cup,Terra sigillata cup,exact,Dragendorff 33,Dragendorff 33,exact,40,40,exact,300,300
old_rep_4,exact,Heerlen,Heerlen,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
old_rep_4,exact,Heerlen,Heerlen,exact,Colour-coated ware with barbotine decoration,Colour-coated ware with barbotine decoration,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Colour-coated ware without barbotine decoration,Colour-coated ware without barbotine decoration,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Terra nigra,Terra nigra,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Terra rubra,Terra rubra,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Smooth-walled ware,Smooth-walled ware,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Coarse ware,Coarse ware,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Mortarium with pouring spout,Mortarium with pouring spout,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Mortarium without pouring spout,Mortarium without pouring spout,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Lid,Lid,exact,,,exact,-12,-12,exact,450,450
old_rep_4,exact,Heerlen,Heerlen,exact,Coarse ware,Coarse ware,exact,,,incorrect,-12,,incorrect,450,
old_rep_4,exact,Heerlen,Heerlen,exact,Terra sigillata,Terra sigillata,exact,,,incorrect,-12,,incorrect,450,
old_rep_5,exact,Eygelshoven,Eygelshoven,exact,Dish,Dish,exact,,,exact,101,101,exact,200,200
old_rep_5,exact,Eygelshoven,Eygelshoven,exact,Bowl,Bowl,exact,,,exact,101,101,exact,200,200
old_rep_5,exact,Eygelshoven,Eygelshoven,exact,Beaker,Beaker,exact,,,exact,101,101,exact,200,200
old_rep_5,exact,Eygelshoven,Eygelshoven,exact,Jug,Jug,exact,,,exact,101,101,exact,200,200
