report,site_name_verdict,site_name_gold,site_name_workflow,pottery_verdict,pottery_gold,pottery_workflow,typology_verdict,typology_gold,typology_workflow,start_date_verdict,start_date_gold,start_date_workflow,end_date_verdict,end_date_gold,end_date_workflow
old_rep_1,exact,Ambij,Ambij,exact,Terra sigillata,Terra sigillata,exact,,,acceptable,-12,1,incorrect,450,300
old_rep_1,missing,Ambij,,missing,Roman ware,,missing,,,missing,-12,,missing,450,
old_rep_1,overclaim,,Ambij,overclaim,,Pottery,overclaim,,,overclaim,,-12,overclaim,,450
old_rep_2,exact,Houten,Houten,exact,Terra sigillata,Terra sigillata,exact,,,exact,-12,-12,incorrect,450,70
old_rep_2,incorrect,Kerkrade,Houten,exact,Pottery,Pottery,exact,,,acceptable,1,-12,acceptable,50,70
old_rep_2,exact,Houten,Houten,acceptable,Colour-coated ware,Varnished pottery,exact,,,exact,-12,-12,incorrect,450,70
old_rep_2,exact,Houten,Houten,acceptable,Smooth-walled ware,Smooth-walled pottery,exact,,,exact,-12,-12,incorrect,450,70
old_rep_2,exact,Houten,Houten,acceptable,Coarse ware,Rough-walled pottery,exact,,,exact,-12,-12,incorrect,450,70
old_rep_2,missing,Houten,,missing,Belgic ware,,missing,,,missing,-12,,missing,450,
old_rep_2,missing,Kerkrade,,missing,Terra sigillata,,missing,,,missing,-27,,missing,20,
old_rep_2,overclaim,,Houten,overclaim,,Belgian pottery,overclaim,,,overclaim,,-12,overclaim,,70
old_rep_2,overclaim,,Kerkrade,overclaim,,Sherd with stamp,overclaim,,,overclaim,,20,overclaim,,20
old_rep_3,incorrect,Voerendaal,,exact,Terra sigillata ,Terra sigillata,exact,,,incorrect,325,284,incorrect,375,305
old_rep_3,incorrect,Voerendaal,,exact,Pottery,Pottery,exact,,,incorrect,-800,284,incorrect,-12,305
old_rep_3,incorrect,Voerendaal,,acceptable,Handmade pottery,Pottery,exact,,,incorrect,270,301,exact,400,400
old_rep_3,missing,Voerendaal,,missing,Terra sigillata ,,missing,,,missing,350,,missing,420,
old_rep_3,missing,Voerendaal,,missing,Terra sigillata ,,missing,Hübener Group 3,,missing,340,,missing,370,
old_rep_3,overclaim,,,overclaim,,Bowl,overclaim,,,overclaim,,326,overclaim,,375
old_rep_3,overclaim,,,overclaim,,Bowl,overclaim,,,overclaim,,326,overclaim,,375
old_rep_4,incorrect,Heerlen,,exact,Terra sigillata plate,Terra sigillata plate,exact,Dragendorff 18/31,Dragendorff 18/31,exact,70,70,exact,200,200
old_rep_4,incorrect,Heerlen,,exact,Terra sigillata cup,Terra sigillata cup,exact,Dragendorff 33,Dragendorff 33,exact,40,40,exact,300,300
old_rep_4,incorrect,Heerlen,,exact,Terra sigillata decorated bowl,Terra sigillata decorated bowl,exact,Dragendorff 37,Dragendorff 37,exact,70,70,exact,300,300
old_rep_4,incorrect,Heerlen,,exact,Terra nigra,Terra nigra,exact,,,exact,-12,-12,exact,450,450
old_rep_4,incorrect,Heerlen,,exact,Terra rubra,Terra rubra,exact,,,exact,-12,-12,exact,450,450
old_rep_4,incorrect,Heerlen,,exact,Lid,Lid,exact,,,exact,-12,-12,exact,450,450
old_rep_4,incorrect,Heerlen,,exact,Terra sigillata,Terra sigillata,exact,,,incorrect,-12,,incorrect,450,
old_rep_4,incorrect,Heerlen,,acceptable,Colour-coated ware with barbotine decoration,Varnished pottery,exact,,,exact,-12,-12,exact,450,450
old_rep_4,incorrect,Heerlen,,acceptable,Smooth-walled ware,Smooth-walled pottery,exact,,,exact,-12,-12,exact,450,450
old_rep_4,incorrect,Heerlen,,acceptable,Coarse ware,Rough-walled pottery,exact,,,exact,-12,-12,exact,450,450
old_rep_4,incorrect,Heerlen,,acceptable,Mortarium with pouring spout,Grinding bowl,exact,,,exact,-12,-12,exact,450,450
old_rep_4,incorrect,Heerlen,,acceptable,Coarse ware,Rough-walled pottery,exact,,,incorrect,-12,,incorrect,450,
old_rep_4,missing,Heerlen,,missing,Colour-coated ware without barbotine decoration,,missing,,,missing,-12,,missing,450,
old_rep_4,missing,Heerlen,,missing,Mortarium without pouring spout,,missing,,,missing,-12,,missing,450,
old_rep_4,overclaim,,,overclaim,,Pottery,overclaim,,,overclaim,,-12,overclaim,,450
old_rep_5,incorrect,Eygelshoven,,acceptable,Dish,Dishes,exact,,,incorrect,101,-12,incorrect,200,450
old_rep_5,incorrect,Eygelshoven,,acceptable,Bowl,Bowls,exact,,,incorrect,101,-12,incorrect,200,450
old_rep_5,incorrect,Eygelshoven,,acceptable,Beaker,Beakers,exact,,,incorrect,101,-12,incorrect,200,450
old_rep_5,incorrect,Eygelshoven,,acceptable,Jug,Jugs,exact,,,incorrect,101,-12,incorrect,200,450
old_rep_5,incorrect,Eygelshoven,,acceptable,Urn,Urns,exact,,,incorrect,101,-12,incorrect,200,450
table_1,incorrect,Voerendaal-Ten Hove,,exact,amphora,Amphora,exact,Mayen R19,Mayen R19,exact,365,365,exact,435,435
