report,site_name_exact,site_name_acceptable,site_name_incorrect,site_name_missing,site_name_overclaim,pottery_exact,pottery_acceptable,pottery_incorrect,pottery_missing,pottery_overclaim,typology_exact,typology_acceptable,typology_incorrect,typology_missing,typology_overclaim,start_date_exact,start_date_acceptable,start_date_incorrect,start_date_missing,start_date_overclaim,end_date_exact,end_date_acceptable,end_date_incorrect,end_date_missing,end_date_overclaim,total_correct_values,total_incorrect_values,total_missing_values,total_overclaim_values,total_values
old_rep_1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,4,1,5,5,15
old_rep_2,4,0,1,2,2,2,3,0,2,2,5,0,0,2,2,4,1,0,2,2,0,1,4,2,2,20,5,10,10,45
old_rep_3,0,0,3,2,2,2,1,0,2,2,3,0,0,2,2,0,0,3,2,2,1,0,2,2,2,7,8,10,10,35
old_rep_4,0,0,12,2,1,7,5,0,2,1,12,0,0,2,1,10,0,2,2,1,10,0,2,2,1,44,16,10,5,75
old_rep_5,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,10,15,0,0,25
table_1,0,0,39,0,1,39,0,0,0,1,39,0,0,0,1,39,0,0,0,1,39,0,0,0,1,156,39,0,5,200
table_2,6,0,5,2,0,9,2,0,2,0,11,0,0,2,0,10,0,1,2,0,10,0,1,2,0,48,7,10,0,65
table_3,0,0,11,0,0,8,3,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,44,11,0,0,55
table_4,0,0,23,5,6,18,5,0,5,6,21,0,2,5,6,16,2,5,5,6,16,1,6,5,6,79,36,25,30,170
table_5,0,0,10,1,22,9,1,0,1,22,10,0,0,1,22,8,0,2,1,22,5,0,5,1,22,33,17,5,110,165
ocr_1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,5,5,10
ocr_2,0,0,8,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,32,8,0,0,40
ocr_3,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,5,10,15
ocr_4,0,0,9,0,7,8,1,0,0,7,9,0,0,0,7,8,0,1,0,7,7,0,2,0,7,33,12,0,35,80
ocr_5,0,0,2,0,8,1,1,0,0,8,1,0,1,0,8,0,1,1,0,8,0,0,2,0,8,4,6,0,40,50
new_rep_1,0,0,11,0,18,7,4,0,0,18,10,0,1,0,18,4,0,7,0,18,3,0,8,0,18,28,27,0,90,145
new_rep_2,0,0,55,0,10,8,47,0,0,10,51,0,4,0,10,44,1,10,0,10,44,1,10,0,10,196,79,0,50,325
new_rep_3,0,0,6,0,0,5,1,0,0,0,6,0,0,0,0,3,0,3,0,0,3,0,3,0,0,18,12,0,0,30
new_rep_4,0,0,5,0,3,5,0,0,0,3,5,0,0,0,3,5,0,0,0,3,4,0,1,0,3,19,6,0,15,40
new_rep_5,0,0,8,0,10,7,1,0,0,10,8,0,0,0,10,8,0,0,0,10,4,0,4,0,10,28,12,0,50,90
TOTAL,11,0,213,17,94,144,80,0,17,94,216,0,8,17,94,178,6,40,17,94,165,3,56,17,94,803,317,85,470,1675
