report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text,std_vocabulary,std_ware_code,std_ware_label,std_form_code,std_form_label,std_combined_code,std_combined_label
table_5,Kerkrade-Holzkuil,1,Terra nigra flask-shaped pot,Holwerda 25,holwerda 25?,Terra nigra flask-shaped pot,1,-30,70,claude+typology,present,5,Type given with a question mark indicating uncertainty.,9,Listed in the finds table for Kerkrade-Holzkuil.,5,dated from typology code (only as certain as the identification),6,terra nigra holwerda 25? 1 1,ABR,TNIGRA,terra nigra,POT,pot,TNPOT.HBW25,Terra nigra pot - Holwerda 25:flesvormig
table_5,Kerkrade-Holzkuil,1,Terra nigra round-oval pot,Holwerda 27,Holwerda 27,Terra nigra round-oval pot,1,-25,70,claude+typology,present,9,Type explicitly stated in the table.,9,Listed in the finds table for Kerkrade-Holzkuil.,9,dated from typology code (only as certain as the identification),9,Holwerda 27 1 3,ABR,TNIGRA,terra nigra,POT,pot,TNPOT.HBW27,Terra nigra pot - Holwerda 27:bol-ovaal
table_5,Kerkrade-Holzkuil,1,rough-walled Nijmegen pottery,Holwerda 66,Holwerda 66,rough-walled Nijmegen pottery,,-20,120,claude+typology,present,9,Type explicitly stated in the table.,9,Listed in the finds table for Kerkrade-Holzkuil.,9,dated from typology code (only as certain as the identification),9,Holwerda 66 2,ABR,RUW,ruwwandig Romeins aardewerk,,,RUWNIJM.HNW66,ruwwandig Nijmeegs aardewerk - Holwerda 66
table_5,Kerkrade-Holzkuil,1,Terra nigra plate,Holwerda 81,Holwerda 81,Terra nigra plate,2,-30,70,claude+typology,present,9,Type explicitly stated in the table.,9,Listed in the finds table for Kerkrade-Holzkuil.,9,dated from typology code (only as certain as the identification),9,Holwerda 81 2 3,ABR,TNIGRA,terra nigra,BORD,bord,TNBORD.HBW81,Terra nigra bord - Holwerda 81
table_5,Kerkrade-Holzkuil,1,Terra nigra,,pot,Terra nigra,1,,,claude,present,7,Listed as terra nigra pot in the table.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,pot 1 1,ABR,TNIGRA,terra nigra,,,,
table_5,Kerkrade-Holzkuil,1,Terra nigra,,onbekend,Terra nigra,1,,,claude,present,7,Listed as terra nigra of unknown type in the table.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,onbekend 1 1,ABR,TNIGRA,terra nigra,,,,
table_5,Kerkrade-Holzkuil,1,Terra nigra,,indet,Terra nigra,,,,claude,present,7,Listed as indeterminate terra nigra in the table.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,indet 106,ABR,TNIGRA,terra nigra,,,,
table_5,Kerkrade-Holzkuil,1,Handmade cork urn,Holwerda 94,kurkurn Holwerda 94,Handmade cork urn,2,-100,80,claude+typology,present,9,Type explicitly stated in the table and described in the text.,9,"Explicitly found at Kerkrade-Holzkuil, including a fine example described in the text.",9,dated from typology code (only as certain as the identification),9,kurkurn Holwerda 94 2 3 4,ABR,KURKURN,kurkurnaardewerk,KURKURNPOT,kurkurn,KURKURN.HBW94,"Kurkurn, handgevormd aardewerk - Holwerda 94"
table_5,Kerkrade-Holzkuil,1,Cork urn,,kurkurn indet,Cork urn,,,,claude,present,7,Listed as indeterminate kurkurn in the table.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,indet 1,ABR,KURKURN,kurkurnaardewerk,,,,
table_5,Kerkrade-Holzkuil,1,Beaker,,beker,Beaker,8,,,claude,present,6,Listed as white (wit) beaker in the table; text notes possibly a Belgische beker.,9,Listed in the finds table for Kerkrade-Holzkuil.,0,no date stated,5,wit beker 8 8,ABR,,,BEKER,beker,,
table_5,Kerkrade-Holzkuil,1,Color-coated beaker,Niederbieber 33,deukbeker van het type Niederbieber 33,Color-coated beaker,1,150,300,claude+typology,present,9,Type explicitly named as Niederbieber 33 in the text.,9,Explicitly found in the cellar of the main building at Kerkrade-Holzkuil.,9,dated from typology code (only as certain as the identification),9,fragmenten aangetroffen van deze late terra nigra en wel een deukbeker van het type Niederbieber 33,ABR,GEVERFD,geverfd aardewerk,BEKER,beker,GEVBEKER.NB33,geverfde beker - Niederbieber 33
table_5,Kerkrade-Holzkuil,1,Terra nigra,,"late fijne, grijze terra nigra bekers",Terra nigra,,201,400,claude_text,present,3,Identification is hedged as possibly terra nigra or possibly burnt painted beakers.,7,Sherds found in the cellar but identification uncertain due to burning and weathering.,8,date read from the passage,6,"nog een paar 'flinters' aangetroffen die mogelijk tot deze late fijne, grijze terra nigra bekers behoort hebben",ABR,TNIGRA,terra nigra,BEKER,beker,TNBEKER,Terra nigra beker
