SiteID,Name,X-coordinate,Y-coordinate
1277,Baarlo,205521,371582
1277,Baarlo,205521,371582
1277,Baarlo,205420,371422
1277,Baarlo,205627,371411
1277,Baarlo,205627,371411
6003,Voerendaal,192700,320560
6004,Rimburg,204420,325520
6006,Maastricht,176610,317700
6006,Maastricht,176610,317700
6004,Rimburg,204420,325520
6006,Maastricht,176610,317700
6006,Maastricht,176610,317700
6030,Voerendaal,191700,321630
6038,Heerlen,196820,321950
6040,Maastricht,174320,317340
6040,Maastricht,174320,317340
6041,Maastricht,173960,317150
6041,Maastricht,173960,317150
6046,Maastricht,176200,317780
6049,Caberg,175550,319450
6058,Haasdal,186600,322900
6059,Voerendaal,192610,321520
6059,Voerendaal,192610,321520
6059,Voerendaal,192610,321520
6059,Voerendaal,192610,321520
6060,Einighausen,186140,335080
6064,Amby,179300,319965
6064,Amby,179300,319965
6066,Maastricht,173300,316610
6067,Maastricht,177950,317650
6078,Groot Haasdal,184860,321820
6080,Houthem,182840,320420
6081,Oud-Valkenburg,186000,316000
6082,Heerlen,195580,321340
6089,Heerlen,196260,322040
6090,Kerkrade,197950,320100
6091,Kerkrade,198230,319760
6091,Kerkrade,198230,319760
6094,Heerlen,197920,322220
6097,Maastricht,176550,317595
6105,Kunrade,193990,320750
6107,Sittard,190000,336000
6114,Houthem,182750,320550
6116,Rimburg,204000,325000
6120,Sittard,190400,335250
6121,Sittard,191140,334370
6122,Sittard,190970,334995
6122,Sittard,190970,334995
6124,Maastricht,179068,320502
6126,Valkenburg aan de Geul,186223,319413
6127,Valkenburg,184690,321480
6128,Meerssen,182000,321000
6129,Meerssen,181926,320945
6132,Valkenburg,185970,320250
6136,Voerendaal,192792,320554
6138,Maastricht,178216,320243
6140,Buchten,184778,339079
6140,Buchten,184778,339079
6149,Voerendaal,191789,321540
6150,Oost-Maarland,177866,312750
6150,Oost-Maarland,177910,312625
6155,Maastricht,,
6156,Maastricht,,
6157,Maastricht,,
6157,Maastricht,,
6158,Maastricht,,
6158,Maastricht,,
6159,Maastricht,176777,317650
6159,Maastricht,176777,317650
6159,Maastricht,176750,317650
6159,Maastricht,176750,317650
6159,Maastricht,176750,317650
6159,Maastricht,176750,317650
6159,Maastricht,176750,317650
6004,Rimburg,204600,325600
6004,Rimburg,204420,325520
6004,Rimburg,204380,325500
6004,Rimburg,204420,325558
6159,Maastricht,176750,317650
6159,Maastricht,176750,317650
6159,Maastricht,176750,317650
6159,Maastricht,176750,317650
6159,Maastricht,176777,317650
6159,Maastricht,176780,317650
6159,Maastricht,176780,317650
6159,Maastricht,176780,317650
6159,Maastricht,176780,317650
6159,Maastricht,176780,317650
6159,Maastricht,176780,317650
6159,Maastricht,,
6161,Voerendaal,192060,320440
6162,Voerendaal,193000,322395
6166,Rimburg,204600,325600
6167,Maastricht,,
6168,Voerendaal,,
6169,Heerlen,,
6170,Heerlen,,
6171,Schaesberg,,
6172,Schaesberg,,
6173,Eygelshoven,,
6180,Kerkrade,,
6183,Aachen,,
6184,Aachen,,
6185,Voerendaal,,
6186,Rimburg,203835,324985
6188,Meerssen,,
6190,Voerendaal,,
6191,Voerendaal,,
6194,Sittard,,
6194,Sittard,,
6195,Sittard,187800,336185
6195,Sittard,,
6195,Sittard,,
6196,Bocholtz,199420,313580
6200,Meerssen,,
6200,Meerssen,,
6201,Borgharen,,
6202,Maastricht,,
6202,Maastricht,,
6203,Maastricht,,
6203,Maastricht,,
6207,Sittard,,
6207,Sittard,,
6212,Heerlen,196550,323510
6212,Heerlen,196550,323510
6162,Voerendaal,191400,321355
6080,Houthem,182840,320420
6079,Houthem,182840,320500
6079,Houthem,182840,320500
6060,Einighausen,186140,335080
6057,Grevenbicht,182160,339150
6004,Rimburg,204420,325520
6004,Rimburg,204420,325558
6004,Rimburg,204600,325600
6004,Rimburg,204420,325558
6004,Rimburg,204600,325600
6004,Rimburg,204600,325600
6004,Rimburg,204350,325500
6004,Rimburg,204350,325500
6004,Rimburg,204300,325300
6004,Rimburg,204420,325520
6006,Maastricht,176610,317700
6004,Rimburg,204380,325500
6004,Rimburg,204380,325500
6004,Rimburg,204350,325550
6004,Rimburg,204363,325488
6004,Rimburg,204350,325500
6004,Rimburg,204375,325475
6004,Rimburg,204375,325475
6058,Haasdal,186375,323075
6058,Haasdal,186375,323010
6058,Haasdal,186600,322900
6004,Rimburg,204420,325558
6004,Rimburg,204420,325558
6004,Rimburg,204420,325558
6004,Rimburg,204420,325558
6004,Rimburg,204420,325558
6004,Rimburg,204300,325300
6004,Rimburg,204300,325300
6004,Rimburg,204300,325300
6058,Haasdal,186600,322900
6004,Rimburg,204300,325300
6004,Rimburg,204300,325300
6004,Rimburg,204300,325300
6004,Rimburg,204300,325300
6004,Rimburg,204300,325300
6038,Heerlen,196820,321950
6064,Amby,179300,319965
6064,Amby,179300,319965
6067,Maastricht,177950,317650
6089,Heerlen,196260,322040
6090,Kerkrade,197950,320100
6091,Kerkrade,198230,319760
6091,Kerkrade,198230,319760
6091,Kerkrade,198230,319760
6116,Rimburg,204000,325000
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6058,Haasdal,186600,322900
6124,Maastricht,179068,320502
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6058,Haasdal,186560,322850
6124,Maastricht,179068,320502
6058,Haasdal,186560,322850
6124,Maastricht,179068,320502
6058,Haasdal,186560,322850
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6058,Haasdal,186560,322850
6124,Maastricht,179068,320502
6058,Haasdal,186522,322879
6058,Haasdal,186522,322879
6124,Maastricht,179068,320502
6058,Haasdal,186458,322988
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6082,Heerlen,195580,321340
6082,Heerlen,195580,321340
6082,Heerlen,195437,321352
6082,Heerlen,195437,321352
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179050,320500
6124,Maastricht,179050,320500
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6124,Maastricht,179050,320500
6124,Maastricht,179050,320500
6124,Maastricht,179050,320500
6124,Maastricht,179050,320500
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6186,Rimburg,203835,324985
6196,Bocholtz,199420,313580
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6124,Maastricht,179068,320502
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6200,Meerssen,178293,320015
6124,Maastricht,179068,320502
6200,Meerssen,178285,319976
6202,Maastricht,179400,320400
6202,Maastricht,179400,320400
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6202,Maastricht,179400,320400
6124,Maastricht,179068,320502
6202,Maastricht,179400,320400
6202,Maastricht,179400,320400
6124,Maastricht,179068,320502
6202,Maastricht,179400,320400
6202,Maastricht,179279,320515
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6202,Maastricht,179279,320515
6124,Maastricht,179068,320502
6124,Maastricht,179068,320502
6202,Maastricht,179279,320515
